"imdb_title","original_title","release_year","genre1","genre2","genre3","duration","country","content_rating","director1","director2","income","votes","score"
"tt0111161","The Shawshank Redemption","1995","Drama",NULL,NULL,"142","US","R","Frank Darabont",NULL,"28815245 ","2278845","9.3"
"tt0068646","The Godfather","1972","Crime"," Drama",NULL,"175","US","R","Francis Ford Coppola",NULL,"246120974 ","1572674","9.2"
"tt0468569","The Dark Knight","2008","Action"," Crime"," Drama","152","US","PG-13","Christopher Nolan",NULL,"1005455211 ","2241615","9"
"tt0071562","The Godfather: Part II","1975","Crime"," Drama",NULL,"220","US","R","Francis Ford Coppola",NULL," 408035783","1098714","9.0"
"tt0110912","Pulp Fiction","1994","Crime"," Drama",NULL,NULL,"US","R","Quentin Tarantino",NULL,"222831817 ","1780147","8.9"
"tt0167260","The Lord of the Rings: The Return of the King",NULL,"Action"," Adventure"," Drama","201","NZ","PG-13","Peter Jackson",NULL,"1142271098 ","1604280","8.9"
"tt0108052","Schindler's List","1994","Biography"," Drama"," History",NULL,"US","R","Steven Spielberg",NULL,"322287794 ","1183248","8.9"
"tt0050083","12 Angry Men","1957","Crime"," Drama",NULL,"96","US","Unrated","Sidney Lumet",NULL,"576 ","668473","8.9"
"tt1375666","Inception","2010","Action"," Adventure"," Sci-Fi","148","US","PG-13","Christopher Nolan",NULL,"869784991 ","2002816","8.8"
"tt0137523","Fight Club","1999","Drama",NULL,NULL,NULL,NULL,"R","David Fincher",NULL,"101218804 ","1807440","8.8"
"tt0109830","Forrest Gump","1994","Drama"," Romance",NULL,"142","US","PG-13","Robert Zemeckis",NULL,"678229452 ","1755490","8.8"
"tt0120737","The Lord of the Rings: The Fellowship of the Ring","2002","Action"," Adventure"," Drama","178","NZ","PG-13","Peter Jackson",NULL,"887934303 ","1619920","8.8"
"tt0060196","Il buono, il brutto, il cattivo","1966","Western",NULL,NULL,"161","IT","Approved","Sergio Leone",NULL,"25252481 ","672499","8.8"
"tt0133093","The Matrix","1999","Action"," Sci-Fi",NULL,NULL,"US","R","Lana Wachowski"," Lilly Wachowski","465718588 ","1632315","8.7"
"tt0167261","The Lord of the Rings: The Two Towers","2003","Action"," Adventure"," Drama","179","NZ","PG-13","Peter Jackson",NULL,"951227416 ","1449778","8.7"
"tt0080684","Star Wars: Episode V - The Empire Strikes Back","1980","Action"," Adventure"," Fantasy",NULL,"US","PG","Irvin Kershner",NULL,"549265501 ","1132073","8.7"
"tt0099685","Goodfellas","1990","Biography"," Crime"," Drama","146","US","R","Martin Scorsese",NULL,"46879633 ","991505","8.7"
"tt0073486","One Flew Over the Cuckoo's Nest","1976","Drama",NULL,NULL,NULL,"US","R","Milos Forman",NULL,"108997629 ","891071","8.7"
